,0,1,2,3,4,5,6
84,  But I think there is a tremendous amount of potential that will be very difficult to achieve but possible,But that’s basically what it is.,  Right,"Most people would say like, given how the market has evolved this year, the price is on the high side.",  Yes,"But those guys somehow did great for their shareholders by selling it to us, right? But we didn’t buy what they’re selling, we bought something what it’s going to become.","And so obviously, the big deal in Twitter is that it was incredibly poorly managed, this business"
85,But that’s basically what it is.,  Right,"Most people would say like, given how the market has evolved this year, the price is on the high side.",  Yes,"But those guys somehow did great for their shareholders by selling it to us, right? But we didn’t buy what they’re selling, we bought something what it’s going to become.","And so obviously, the big deal in Twitter is that it was incredibly poorly managed, this business","It says you bought something called Twitter and says, Musk puts off lifting Twitter bans"
86,  Yes,"But those guys somehow did great for their shareholders by selling it to us, right? But we didn’t buy what they’re selling, we bought something what it’s going to become.","And so obviously, the big deal in Twitter is that it was incredibly poorly managed, this business","It says you bought something called Twitter and says, Musk puts off lifting Twitter bans", I saw this article, What could possibly go wrong? ,So on Twitter…
87,"But those guys somehow did great for their shareholders by selling it to us, right? But we didn’t buy what they’re selling, we bought something what it’s going to become.","And so obviously, the big deal in Twitter is that it was incredibly poorly managed, this business","It says you bought something called Twitter and says, Musk puts off lifting Twitter bans", I saw this article, What could possibly go wrong? ,So on Twitter…,  But you told me you wanted to be asked tough questions
0," If I keep increasing that enemies list, it might not be much longer", Maybe forever.,  It depends on how long I live.,"  Do you think in your lifetime, that happens?",And I think we may find that there’s many one-planet civilizations that died out millions of years ago and never made it to the second planet.,"  There’s two main motivations, I think, for becoming a multi-planet species and a spacefaring civilization, and then ultimately, going beyond that, to go to other star systems and explore the galaxy",So what do we get out of seeing back 13 and a half billion years? What does that do for us? What technology do we develop? How could we know it? We don’t know until we do it.
1, Maybe forever.,  It depends on how long I live.,"  Do you think in your lifetime, that happens?",And I think we may find that there’s many one-planet civilizations that died out millions of years ago and never made it to the second planet.,"  There’s two main motivations, I think, for becoming a multi-planet species and a spacefaring civilization, and then ultimately, going beyond that, to go to other star systems and explore the galaxy",So what do we get out of seeing back 13 and a half billion years? What does that do for us? What technology do we develop? How could we know it? We don’t know until we do it.,"A trillion-dollar opportunity maybe, maybe more"
2,"  Do you think in your lifetime, that happens?",And I think we may find that there’s many one-planet civilizations that died out millions of years ago and never made it to the second planet.,"  There’s two main motivations, I think, for becoming a multi-planet species and a spacefaring civilization, and then ultimately, going beyond that, to go to other star systems and explore the galaxy",So what do we get out of seeing back 13 and a half billion years? What does that do for us? What technology do we develop? How could we know it? We don’t know until we do it.,"A trillion-dollar opportunity maybe, maybe more","So what do we get out of this? So obviously, Starlink is a really big deal","And now we have this Webb telescope, they can, you know, I guess the Big Bang was 14 billion years ago, and first light is 13 and a half billion years ago, and our planet is four and a half"
3,"  There’s two main motivations, I think, for becoming a multi-planet species and a spacefaring civilization, and then ultimately, going beyond that, to go to other star systems and explore the galaxy",So what do we get out of seeing back 13 and a half billion years? What does that do for us? What technology do we develop? How could we know it? We don’t know until we do it.,"A trillion-dollar opportunity maybe, maybe more","So what do we get out of this? So obviously, Starlink is a really big deal","And now we have this Webb telescope, they can, you know, I guess the Big Bang was 14 billion years ago, and first light is 13 and a half billion years ago, and our planet is four and a half",  So amazing achievements,It was for all mankind.
4,So what do we get out of seeing back 13 and a half billion years? What does that do for us? What technology do we develop? How could we know it? We don’t know until we do it.,"A trillion-dollar opportunity maybe, maybe more","So what do we get out of this? So obviously, Starlink is a really big deal","And now we have this Webb telescope, they can, you know, I guess the Big Bang was 14 billion years ago, and first light is 13 and a half billion years ago, and our planet is four and a half",  So amazing achievements,It was for all mankind.,"It’s like, for all mankind"
5,"It’s like, for all mankind","And I think it’s just one of those things that, you know, going to the Moon makes you proud to be a member of humanity","  I mean, that was just an incredible achievement",That’s where they asked that.,  That was probably on Twitter,"In fact, a lot of people asked me, was it real? Yeah, it was real.","You know, so amazing that that was achieved"
6,"And I think it’s just one of those things that, you know, going to the Moon makes you proud to be a member of humanity","  I mean, that was just an incredible achievement",That’s where they asked that.,  That was probably on Twitter,"In fact, a lot of people asked me, was it real? Yeah, it was real.","You know, so amazing that that was achieved",Because that was incredible
7,"  I mean, that was just an incredible achievement",That’s where they asked that.,  That was probably on Twitter,"In fact, a lot of people asked me, was it real? Yeah, it was real.","You know, so amazing that that was achieved",Because that was incredible, “What was humanity’s greatest achievement in the 20th century? Maybe ever?” “Go to the Moon.” And that’s why they say ‘moonshot’ as a metaphor
8,That’s where they asked that.,  That was probably on Twitter,"In fact, a lot of people asked me, was it real? Yeah, it was real.","You know, so amazing that that was achieved",Because that was incredible, “What was humanity’s greatest achievement in the 20th century? Maybe ever?” “Go to the Moon.” And that’s why they say ‘moonshot’ as a metaphor,Everyone
9,I would like to have a lot smaller number of companies that want me to die,"You know, I have enough enemies","  Well, I think I have to be careful what I say here","In the case of Starship, the goal is to lower the cost of access to orbit and ultimately to Mars and the Moon and elsewhere, to the point where humanity can actually afford to become a multi-planet species.","They said, “We’re spending 20 billion a year, and, oh, by the way, that’s 360,000 jobs in all these congressional districts.”",How can they get contracts? I just saw something from NASA,How can anyone possibly compete if they’re not doing what we’re doing? How can they compete? I don’t understand
10,"You know, I have enough enemies","  Well, I think I have to be careful what I say here","In the case of Starship, the goal is to lower the cost of access to orbit and ultimately to Mars and the Moon and elsewhere, to the point where humanity can actually afford to become a multi-planet species.","They said, “We’re spending 20 billion a year, and, oh, by the way, that’s 360,000 jobs in all these congressional districts.”",How can they get contracts? I just saw something from NASA,How can anyone possibly compete if they’re not doing what we’re doing? How can they compete? I don’t understand,"Our rocket is 10 meters taller than theirs, and we can reuse ours"
11,"  Well, I think I have to be careful what I say here","In the case of Starship, the goal is to lower the cost of access to orbit and ultimately to Mars and the Moon and elsewhere, to the point where humanity can actually afford to become a multi-planet species.","They said, “We’re spending 20 billion a year, and, oh, by the way, that’s 360,000 jobs in all these congressional districts.”",How can they get contracts? I just saw something from NASA,How can anyone possibly compete if they’re not doing what we’re doing? How can they compete? I don’t understand,"Our rocket is 10 meters taller than theirs, and we can reuse ours",And we haven’t gotten anything
12,"In the case of Starship, the goal is to lower the cost of access to orbit and ultimately to Mars and the Moon and elsewhere, to the point where humanity can actually afford to become a multi-planet species.","They said, “We’re spending 20 billion a year, and, oh, by the way, that’s 360,000 jobs in all these congressional districts.”",How can they get contracts? I just saw something from NASA,How can anyone possibly compete if they’re not doing what we’re doing? How can they compete? I don’t understand,"Our rocket is 10 meters taller than theirs, and we can reuse ours",And we haven’t gotten anything,And they say it’s going to be $100 billion or $90 billion
13,They were fully aware of reusability,Because it’s not like those who have developed rockets before weren’t aware of reusability,"Not impossible, but extreme difficulty","If this was a video game, the setting is an extreme difficulty","So with known physics, it is only barely possible to make a fully reusable orbital rocket, only barely possible","Earth’s gravity is actually quite strong, and we have a thick atmosphere","  Well, so let’s see"
14,Because it’s not like those who have developed rockets before weren’t aware of reusability,"Not impossible, but extreme difficulty","If this was a video game, the setting is an extreme difficulty","So with known physics, it is only barely possible to make a fully reusable orbital rocket, only barely possible","Earth’s gravity is actually quite strong, and we have a thick atmosphere","  Well, so let’s see",You need a very lightweight heat shield for orbital reentry.
15,"Not impossible, but extreme difficulty","If this was a video game, the setting is an extreme difficulty","So with known physics, it is only barely possible to make a fully reusable orbital rocket, only barely possible","Earth’s gravity is actually quite strong, and we have a thick atmosphere","  Well, so let’s see",You need a very lightweight heat shield for orbital reentry.,You need advanced avionics and software
16,"If this was a video game, the setting is an extreme difficulty","So with known physics, it is only barely possible to make a fully reusable orbital rocket, only barely possible","Earth’s gravity is actually quite strong, and we have a thick atmosphere","  Well, so let’s see",You need a very lightweight heat shield for orbital reentry.,You need advanced avionics and software,You have to have an exceptionally efficient structure
17,"So with known physics, it is only barely possible to make a fully reusable orbital rocket, only barely possible","Earth’s gravity is actually quite strong, and we have a thick atmosphere","  Well, so let’s see",You need a very lightweight heat shield for orbital reentry.,You need advanced avionics and software,You have to have an exceptionally efficient structure,So you have to have exceptionally efficient engines
18,"Earth’s gravity is actually quite strong, and we have a thick atmosphere","  Well, so let’s see",You need a very lightweight heat shield for orbital reentry.,You need advanced avionics and software,You have to have an exceptionally efficient structure,So you have to have exceptionally efficient engines,"It’s just that in order for a rocket to be reusable, everything has to be perfect"
19,"  Well, so let’s see",You need a very lightweight heat shield for orbital reentry.,You need advanced avionics and software,You have to have an exceptionally efficient structure,So you have to have exceptionally efficient engines,"It’s just that in order for a rocket to be reusable, everything has to be perfect",And how much harder is it to do what we’re trying to do than we’re doing with Falcon?
20,You need a very lightweight heat shield for orbital reentry.,You need advanced avionics and software,You have to have an exceptionally efficient structure,So you have to have exceptionally efficient engines,"It’s just that in order for a rocket to be reusable, everything has to be perfect",And how much harder is it to do what we’re trying to do than we’re doing with Falcon?,  So why is it so hard? Why don’t other people do the same thing? Everyone says it’s impossible
21,Production is key,And also Production,It’s actually quite rare for me to give a talk and my day-to-day work at SpaceX and Tesla is almost entirely engineering and design,But I think probably a lot of people don’t realize like what I do 80% of the time is engineering,"  Well, my memory for technical matters is very good","The thing that’s the Holy Grail, like the critical breakthrough needed to make life multi-planetary and for humanity to be a spacefaring civilization, is a fully and rapidly reusable orbital rocket",Is that true?
22,And also Production,It’s actually quite rare for me to give a talk and my day-to-day work at SpaceX and Tesla is almost entirely engineering and design,But I think probably a lot of people don’t realize like what I do 80% of the time is engineering,"  Well, my memory for technical matters is very good","The thing that’s the Holy Grail, like the critical breakthrough needed to make life multi-planetary and for humanity to be a spacefaring civilization, is a fully and rapidly reusable orbital rocket",Is that true?,"And if that doesn’t happen, it blows up.” And I say, “Well, how does Elon know this?” Because you hire these great people, and then you ask them all these questions, and then somehow you remember everything I tell you"
23,It’s actually quite rare for me to give a talk and my day-to-day work at SpaceX and Tesla is almost entirely engineering and design,But I think probably a lot of people don’t realize like what I do 80% of the time is engineering,"  Well, my memory for technical matters is very good","The thing that’s the Holy Grail, like the critical breakthrough needed to make life multi-planetary and for humanity to be a spacefaring civilization, is a fully and rapidly reusable orbital rocket",Is that true?,"And if that doesn’t happen, it blows up.” And I say, “Well, how does Elon know this?” Because you hire these great people, and then you ask them all these questions, and then somehow you remember everything I tell you","And then I was interested in how that was done, and the woman I’m talking to says, “Ron, didn’t you see the plumbing when you went there?” and I said, “Why should it cost hundreds of millions of dollars? It looks like it’s a landing field.” And she says, “Would you see what’s underneath, would you see the plumbing?” I said, “No, they didn’t show that to me.” And she said, “Well, you should be aware that there’s all these pipes that take away the heat, and then they all deliver fuel to the rocket, and it has to be there at the exact right amount at the exact right time"
24,But I think probably a lot of people don’t realize like what I do 80% of the time is engineering,"  Well, my memory for technical matters is very good","The thing that’s the Holy Grail, like the critical breakthrough needed to make life multi-planetary and for humanity to be a spacefaring civilization, is a fully and rapidly reusable orbital rocket",Is that true?,"And if that doesn’t happen, it blows up.” And I say, “Well, how does Elon know this?” Because you hire these great people, and then you ask them all these questions, and then somehow you remember everything I tell you","And then I was interested in how that was done, and the woman I’m talking to says, “Ron, didn’t you see the plumbing when you went there?” and I said, “Why should it cost hundreds of millions of dollars? It looks like it’s a landing field.” And she says, “Would you see what’s underneath, would you see the plumbing?” I said, “No, they didn’t show that to me.” And she said, “Well, you should be aware that there’s all these pipes that take away the heat, and then they all deliver fuel to the rocket, and it has to be there at the exact right amount at the exact right time","And we had to build a launching pad, and it cost a few 100 million dollars and did it in six months"
25,"  Well, my memory for technical matters is very good","The thing that’s the Holy Grail, like the critical breakthrough needed to make life multi-planetary and for humanity to be a spacefaring civilization, is a fully and rapidly reusable orbital rocket",Is that true?,"And if that doesn’t happen, it blows up.” And I say, “Well, how does Elon know this?” Because you hire these great people, and then you ask them all these questions, and then somehow you remember everything I tell you","And then I was interested in how that was done, and the woman I’m talking to says, “Ron, didn’t you see the plumbing when you went there?” and I said, “Why should it cost hundreds of millions of dollars? It looks like it’s a landing field.” And she says, “Would you see what’s underneath, would you see the plumbing?” I said, “No, they didn’t show that to me.” And she said, “Well, you should be aware that there’s all these pipes that take away the heat, and then they all deliver fuel to the rocket, and it has to be there at the exact right amount at the exact right time","And we had to build a launching pad, and it cost a few 100 million dollars and did it in six months","And with those guys, when they built the launching pad, it took them like 10 years and billions of dollars"
26,"The thing that’s the Holy Grail, like the critical breakthrough needed to make life multi-planetary and for humanity to be a spacefaring civilization, is a fully and rapidly reusable orbital rocket",Is that true?,"And if that doesn’t happen, it blows up.” And I say, “Well, how does Elon know this?” Because you hire these great people, and then you ask them all these questions, and then somehow you remember everything I tell you","And then I was interested in how that was done, and the woman I’m talking to says, “Ron, didn’t you see the plumbing when you went there?” and I said, “Why should it cost hundreds of millions of dollars? It looks like it’s a landing field.” And she says, “Would you see what’s underneath, would you see the plumbing?” I said, “No, they didn’t show that to me.” And she said, “Well, you should be aware that there’s all these pipes that take away the heat, and then they all deliver fuel to the rocket, and it has to be there at the exact right amount at the exact right time","And we had to build a launching pad, and it cost a few 100 million dollars and did it in six months","And with those guys, when they built the launching pad, it took them like 10 years and billions of dollars"," Just Boeing, Northrop, and Lockheed"
27,"I remember a good friend of mine saying, starting a company is like eating glass and staring into the abyss","They had some success earlier in life, and they just decided that was enough trauma","I mean, I have a lot of friends who are extremely talented","And that’s totally understandable, no judgment","So as a company has prosperity, and then people become wealthy, then for a lot of people, you know, once they become sort of independently wealthy, they just can’t bring themselves to work, or they just don’t want to work",  We do have that problem a little bit,I’m not.”
28,"They had some success earlier in life, and they just decided that was enough trauma","I mean, I have a lot of friends who are extremely talented","And that’s totally understandable, no judgment","So as a company has prosperity, and then people become wealthy, then for a lot of people, you know, once they become sort of independently wealthy, they just can’t bring themselves to work, or they just don’t want to work",  We do have that problem a little bit,I’m not.”,Or I could go on vacation
29,"I mean, I have a lot of friends who are extremely talented","And that’s totally understandable, no judgment","So as a company has prosperity, and then people become wealthy, then for a lot of people, you know, once they become sort of independently wealthy, they just can’t bring themselves to work, or they just don’t want to work",  We do have that problem a little bit,I’m not.”,Or I could go on vacation,"How do you get people to say, “Gee, I could buy that real expensive house, but I’m not going to do that"
30,"And that’s totally understandable, no judgment","So as a company has prosperity, and then people become wealthy, then for a lot of people, you know, once they become sort of independently wealthy, they just can’t bring themselves to work, or they just don’t want to work",  We do have that problem a little bit,I’m not.”,Or I could go on vacation,"How do you get people to say, “Gee, I could buy that real expensive house, but I’m not going to do that","So we do have all these people coming up and fighting each other for the job, or they’re working together"
31,"So as a company has prosperity, and then people become wealthy, then for a lot of people, you know, once they become sort of independently wealthy, they just can’t bring themselves to work, or they just don’t want to work",  We do have that problem a little bit,I’m not.”,Or I could go on vacation,"How do you get people to say, “Gee, I could buy that real expensive house, but I’m not going to do that","So we do have all these people coming up and fighting each other for the job, or they’re working together","What happens in 10 years if you’re not there? What happens in five years if you’re not there? How does that work? In all the engineering schools, the top engineering schools, the top choice of where everybody wants to work is Tesla and SpaceX, those two places"
32,  We do have that problem a little bit,I’m not.”,Or I could go on vacation,"How do you get people to say, “Gee, I could buy that real expensive house, but I’m not going to do that","So we do have all these people coming up and fighting each other for the job, or they’re working together","What happens in 10 years if you’re not there? What happens in five years if you’re not there? How does that work? In all the engineering schools, the top engineering schools, the top choice of where everybody wants to work is Tesla and SpaceX, those two places","And this company, we’re doing a million and a half cars a year, but you expect to do 20"
33,I’m not.”,Or I could go on vacation,"How do you get people to say, “Gee, I could buy that real expensive house, but I’m not going to do that","So we do have all these people coming up and fighting each other for the job, or they’re working together","What happens in 10 years if you’re not there? What happens in five years if you’re not there? How does that work? In all the engineering schools, the top engineering schools, the top choice of where everybody wants to work is Tesla and SpaceX, those two places","And this company, we’re doing a million and a half cars a year, but you expect to do 20",  So the focus is on always lowering cost and providing leadership
34,And that made a huge difference,"But the thing is that since the team could see me sleeping on the floor during shift change, they knew I was there","I’m not actually a masochist, I think","And that’s important because if they think that their leader is off somewhere, having a good time, you know, drinking Mai Tais on a tropical island, which I could definitely have been doing and would much have preferred to do","I just slept on the floor under my desk so that during shift change, the entire team could see me",I stopped using the couch,There’s a little conference room and a couch there
35,"But the thing is that since the team could see me sleeping on the floor during shift change, they knew I was there","I’m not actually a masochist, I think","And that’s important because if they think that their leader is off somewhere, having a good time, you know, drinking Mai Tais on a tropical island, which I could definitely have been doing and would much have preferred to do","I just slept on the floor under my desk so that during shift change, the entire team could see me",I stopped using the couch,There’s a little conference room and a couch there,"  Yeah, but actually, I stopped using the couch"
36,"I’m not actually a masochist, I think","And that’s important because if they think that their leader is off somewhere, having a good time, you know, drinking Mai Tais on a tropical island, which I could definitely have been doing and would much have preferred to do","I just slept on the floor under my desk so that during shift change, the entire team could see me",I stopped using the couch,There’s a little conference room and a couch there,"  Yeah, but actually, I stopped using the couch",And then they gave it their all.
37,"And that’s important because if they think that their leader is off somewhere, having a good time, you know, drinking Mai Tais on a tropical island, which I could definitely have been doing and would much have preferred to do","I just slept on the floor under my desk so that during shift change, the entire team could see me",I stopped using the couch,There’s a little conference room and a couch there,"  Yeah, but actually, I stopped using the couch",And then they gave it their all.,And that made a huge difference
38,"I just slept on the floor under my desk so that during shift change, the entire team could see me",I stopped using the couch,There’s a little conference room and a couch there,"  Yeah, but actually, I stopped using the couch",And then they gave it their all.,And that made a huge difference,"But the thing is that since the team could see me sleeping on the floor during shift change, they knew I was there"
39,I stopped using the couch,There’s a little conference room and a couch there,"  Yeah, but actually, I stopped using the couch",And then they gave it their all.,And that made a huge difference,"But the thing is that since the team could see me sleeping on the floor during shift change, they knew I was there"," I’m not actually a masochist, I think"
40,There’s a little conference room and a couch there,"  Yeah, but actually, I stopped using the couch",And then they gave it their all.,And that made a huge difference,"But the thing is that since the team could see me sleeping on the floor during shift change, they knew I was there"," I’m not actually a masochist, I think","  We went to visit, and they bought him a new couch."
41,"  Yeah, but actually, I stopped using the couch",And then they gave it their all.,And that made a huge difference,"But the thing is that since the team could see me sleeping on the floor during shift change, they knew I was there"," I’m not actually a masochist, I think","  We went to visit, and they bought him a new couch.","And it was damn uncomfortable on that floor, and always when I woke up, I would smell like metal dust."
42,And then they gave it their all.,And that made a huge difference,"But the thing is that since the team could see me sleeping on the floor during shift change, they knew I was there"," I’m not actually a masochist, I think","  We went to visit, and they bought him a new couch.","And it was damn uncomfortable on that floor, and always when I woke up, I would smell like metal dust.",And for an important reason
43,And for an important reason,"And then, for a while there, I was just sleeping under my desk, which is out in the open in the factory"," I actually slept on a couch, at one point in a tent on the roof", Did you keep the couch?,"I’m not kidding, literally.",That was my primary residence,I was living in the factory in Fremont and the one in Nevada for three years straight
44,"And then, for a while there, I was just sleeping under my desk, which is out in the open in the factory"," I actually slept on a couch, at one point in a tent on the roof", Did you keep the couch?,"I’m not kidding, literally.",That was my primary residence,I was living in the factory in Fremont and the one in Nevada for three years straight,"  Yeah, well, it’s literally me, it’s not someone else who did this"
45," I actually slept on a couch, at one point in a tent on the roof", Did you keep the couch?,"I’m not kidding, literally.",That was my primary residence,I was living in the factory in Fremont and the one in Nevada for three years straight,"  Yeah, well, it’s literally me, it’s not someone else who did this","  So, is this you? You do all these different things…"
46, Did you keep the couch?,"I’m not kidding, literally.",That was my primary residence,I was living in the factory in Fremont and the one in Nevada for three years straight,"  Yeah, well, it’s literally me, it’s not someone else who did this","  So, is this you? You do all these different things…",The Dilbert quotient – try to keep it low.
47,That was my primary residence,I was living in the factory in Fremont and the one in Nevada for three years straight,"  Yeah, well, it’s literally me, it’s not someone else who did this","  So, is this you? You do all these different things…",The Dilbert quotient – try to keep it low.,It’s not zero,"I mean, at any given company, you should ask, “What’s your Dilbert ratio?” Okay"
48,I was living in the factory in Fremont and the one in Nevada for three years straight,"  Yeah, well, it’s literally me, it’s not someone else who did this","  So, is this you? You do all these different things…",The Dilbert quotient – try to keep it low.,It’s not zero,"I mean, at any given company, you should ask, “What’s your Dilbert ratio?” Okay","They forgot to tell the production team! So honestly, a bunch of these things just feel like you’re living in a Dilbert cartoon"
49,"  Yeah, well, it’s literally me, it’s not someone else who did this","  So, is this you? You do all these different things…",The Dilbert quotient – try to keep it low.,It’s not zero,"I mean, at any given company, you should ask, “What’s your Dilbert ratio?” Okay","They forgot to tell the production team! So honestly, a bunch of these things just feel like you’re living in a Dilbert cartoon","And I’m like, “I can’t imagine what a useful thing it could do.” And the production team said, “Oh, that’s for crash safety.” So then I called the crash safety team, and I said, “Is this for crash safety?” And they said, “Oh no, this didn’t do anything, we should delete it.” It turned out to be totally useless"
50,"  So, is this you? You do all these different things…",The Dilbert quotient – try to keep it low.,It’s not zero,"I mean, at any given company, you should ask, “What’s your Dilbert ratio?” Okay","They forgot to tell the production team! So honestly, a bunch of these things just feel like you’re living in a Dilbert cartoon","And I’m like, “I can’t imagine what a useful thing it could do.” And the production team said, “Oh, that’s for crash safety.” So then I called the crash safety team, and I said, “Is this for crash safety?” And they said, “Oh no, this didn’t do anything, we should delete it.” It turned out to be totally useless","And I’m looking at this beam, and I’m like, “What the heck does that do?“ Because the entire factory is stopped trying to get this laser weld cell to work"
51,"And then I asked the battery fire prevention team what they were needed for, and they said, “Oh, noise and vibration.” And I’m like, “Okay!” So then we had two cars drive, with a microphone in each car, and you could not tell the difference","Because it turned out that the team at Tesla that does noise and vibration minimization, so making the car quiet, thought that the fiberglass mats were there because of the battery safety team for battery fire prevention","First, I tried to automate it, then I tried to accelerate it, just go faster, then I tried to simplify it, and only then did I delete it","I was on the battery pack production line, and the number one thing choking battery pack production was gluing on these three fiberglass mats to the top of the battery pack. So the reason I repeat this algorithm is because myself first did things backwards",They partially covered the battery pack,"One example was, there were three fiberglass mats, on top of the battery pack","  Well, yeah, I mean, I can give you so many examples"
52,"Because it turned out that the team at Tesla that does noise and vibration minimization, so making the car quiet, thought that the fiberglass mats were there because of the battery safety team for battery fire prevention","First, I tried to automate it, then I tried to accelerate it, just go faster, then I tried to simplify it, and only then did I delete it","I was on the battery pack production line, and the number one thing choking battery pack production was gluing on these three fiberglass mats to the top of the battery pack. So the reason I repeat this algorithm is because myself first did things backwards",They partially covered the battery pack,"One example was, there were three fiberglass mats, on top of the battery pack","  Well, yeah, I mean, I can give you so many examples","I mean, at any given company, you should ask, “What’s your Dilbert ratio?”"
53,"First, I tried to automate it, then I tried to accelerate it, just go faster, then I tried to simplify it, and only then did I delete it","I was on the battery pack production line, and the number one thing choking battery pack production was gluing on these three fiberglass mats to the top of the battery pack. So the reason I repeat this algorithm is because myself first did things backwards",They partially covered the battery pack,"One example was, there were three fiberglass mats, on top of the battery pack","  Well, yeah, I mean, I can give you so many examples","I mean, at any given company, you should ask, “What’s your Dilbert ratio?”","So honestly, a bunch of these things just feel like you’re living in a Dilbert cartoon"
54,"I was on the battery pack production line, and the number one thing choking battery pack production was gluing on these three fiberglass mats to the top of the battery pack. So the reason I repeat this algorithm is because myself first did things backwards",They partially covered the battery pack,"One example was, there were three fiberglass mats, on top of the battery pack","  Well, yeah, I mean, I can give you so many examples","I mean, at any given company, you should ask, “What’s your Dilbert ratio?”","So honestly, a bunch of these things just feel like you’re living in a Dilbert cartoon",  They were just there?
55,They partially covered the battery pack,"One example was, there were three fiberglass mats, on top of the battery pack","  Well, yeah, I mean, I can give you so many examples","I mean, at any given company, you should ask, “What’s your Dilbert ratio?”","So honestly, a bunch of these things just feel like you’re living in a Dilbert cartoon",  They were just there?,"This sounds insanely obvious, but we have deleted so many parts from the car that did nothing."
56,"One example was, there were three fiberglass mats, on top of the battery pack","  Well, yeah, I mean, I can give you so many examples","I mean, at any given company, you should ask, “What’s your Dilbert ratio?”","So honestly, a bunch of these things just feel like you’re living in a Dilbert cartoon",  They were just there?,"This sounds insanely obvious, but we have deleted so many parts from the car that did nothing.",Or there was a step that someone thought was needed but was not actually needed
57,"  Well, yeah, I mean, I can give you so many examples","I mean, at any given company, you should ask, “What’s your Dilbert ratio?”","So honestly, a bunch of these things just feel like you’re living in a Dilbert cartoon",  They were just there?,"This sounds insanely obvious, but we have deleted so many parts from the car that did nothing.",Or there was a step that someone thought was needed but was not actually needed,"Then step two is to delete the part or delete the process step.  This sounds extremely obvious, and yet, over and over again, we have found that parts were not needed, they were put in there, just in case, or by mistake"
58,"I mean, at any given company, you should ask, “What’s your Dilbert ratio?”","So honestly, a bunch of these things just feel like you’re living in a Dilbert cartoon",  They were just there?,"This sounds insanely obvious, but we have deleted so many parts from the car that did nothing.",Or there was a step that someone thought was needed but was not actually needed,"Then step two is to delete the part or delete the process step.  This sounds extremely obvious, and yet, over and over again, we have found that parts were not needed, they were put in there, just in case, or by mistake","And the requirements must be given from a person who can explain the requirements, not from a department, because then you don’t know who to talk to"
59,Or there was a step that someone thought was needed but was not actually needed,"Then step two is to delete the part or delete the process step.  This sounds extremely obvious, and yet, over and over again, we have found that parts were not needed, they were put in there, just in case, or by mistake","And the requirements must be given from a person who can explain the requirements, not from a department, because then you don’t know who to talk to","If you don’t start with this, then you get the right answer to the wrong question","Whatever constraints and requirements you were given, they were, to some degree, dumb, and you want to make them less dumb",The first thing that you should do is make the requirements that you’ve been given less dumb,People here may find it helpful
60,"Then step two is to delete the part or delete the process step.  This sounds extremely obvious, and yet, over and over again, we have found that parts were not needed, they were put in there, just in case, or by mistake","And the requirements must be given from a person who can explain the requirements, not from a department, because then you don’t know who to talk to","If you don’t start with this, then you get the right answer to the wrong question","Whatever constraints and requirements you were given, they were, to some degree, dumb, and you want to make them less dumb",The first thing that you should do is make the requirements that you’ve been given less dumb,People here may find it helpful,"Well, I’ve got this first principles algorithm that I find to be very helpful in the design and manufacturing of anything"
61,"And the requirements must be given from a person who can explain the requirements, not from a department, because then you don’t know who to talk to","If you don’t start with this, then you get the right answer to the wrong question","Whatever constraints and requirements you were given, they were, to some degree, dumb, and you want to make them less dumb",The first thing that you should do is make the requirements that you’ve been given less dumb,People here may find it helpful,"Well, I’ve got this first principles algorithm that I find to be very helpful in the design and manufacturing of anything",  Probably
62,"If you don’t start with this, then you get the right answer to the wrong question","Whatever constraints and requirements you were given, they were, to some degree, dumb, and you want to make them less dumb",The first thing that you should do is make the requirements that you’ve been given less dumb,People here may find it helpful,"Well, I’ve got this first principles algorithm that I find to be very helpful in the design and manufacturing of anything",  Probably,  Probably in history of the world.
63,"Whatever constraints and requirements you were given, they were, to some degree, dumb, and you want to make them less dumb",The first thing that you should do is make the requirements that you’ve been given less dumb,People here may find it helpful,"Well, I’ve got this first principles algorithm that I find to be very helpful in the design and manufacturing of anything",  Probably,  Probably in history of the world.,"Tesla is, at this point, probably the best at manufacturing in the auto industry, which I think nobody was expecting."
64,The first thing that you should do is make the requirements that you’ve been given less dumb,People here may find it helpful,"Well, I’ve got this first principles algorithm that I find to be very helpful in the design and manufacturing of anything",  Probably,  Probably in history of the world.,"Tesla is, at this point, probably the best at manufacturing in the auto industry, which I think nobody was expecting.","Because the first approximation, a car is made of 10,000 unique parts and process steps"
65,People here may find it helpful,"Well, I’ve got this first principles algorithm that I find to be very helpful in the design and manufacturing of anything",  Probably,  Probably in history of the world.,"Tesla is, at this point, probably the best at manufacturing in the auto industry, which I think nobody was expecting.","Because the first approximation, a car is made of 10,000 unique parts and process steps","  Well, I think the full explanation, or at least an accurate explanation, would take a long time"
66,"Well, I’ve got this first principles algorithm that I find to be very helpful in the design and manufacturing of anything",  Probably,  Probably in history of the world.,"Tesla is, at this point, probably the best at manufacturing in the auto industry, which I think nobody was expecting.","Because the first approximation, a car is made of 10,000 unique parts and process steps","  Well, I think the full explanation, or at least an accurate explanation, would take a long time",What are we doing to do that? How would we sell a car that’s so cheap?
